density,ingredient
0.963699648,"Abiyuch, raw"
0.414221778,"Acerola, (west indian cherry), raw"
1.217304818,Adobo fresco
0.139482844,"Alfalfa seeds, sprouted, raw"
0.4015415198,"Almonds, ground"
0.38886126128,"Almonds, sliced"
0.45648930672,"Almonds, slivered"
0.60442565612,"Almonds, whole"
1.05668821,Almond butter
0.160616608,Amaranth flakes
0.11834908,"Amaranth leaves, raw"
0.815763298,"Amaranth, uncooked"
1.010193929,"Apple juice, from concentrate, prepared"
1.048234704,"Apple juice, unsweetened"
0.25360517,"Apples, dehydrated"
1.039781199,"Applesauce, canned, sweetened"
1.077821974,"Applesauce, canned, sweetened, with salt"
1.031327693,"Applesauce, canned, unsweetened"
1.060914963,"Apricot nectar, canned"
0.502983588,"Apricots, dehydrated"
1.022874187,"Apricots, frozen, sweetened"
0.710094477,Artichokes
0.084535057,"Arugula, raw"
1.022874187,"Asparagus, canned"
0.566384881,"Asparagus, raw"
1.069368469,"Baked beans, canned"
0.934,"Baking soda (sodium bicarbonate), average"
2.16,"Baking soda (sodium bicarbonate), compacted"
0.88,"Baking soda (sodium bicarbonate), low moisture"
0.721,"Baking powder, average"
1.1,"Baking powder, compacted"
0.202884136,"Balsam-pear (bitter gourd), leafy tips, raw"
0.422675284,"Bananas, dehydrated, or banana powder"
0.777722523,"Barley, hulled"
0.845350568,"Barley, pearled, raw"
1.073595221,"Beans, baked, canned"
0.727001488,"Beans, black, mature seeds, cooked"
0.819990051,"Beans, black, mature seeds, raw"
0.532570858,"Beans, fava, in pod, raw"
0.748135253,"Beans, french, mature seeds, cooked, boiled"
0.777722523,"Beans, french, mature seeds, raw"
1.107409244,"Beans, great northern, mature seeds, canned"
0.77349577,"Beans, great northern, mature seeds, raw"
1.082048727,"Beans, kidney, canned"
0.748135253,"Beans, kidney, cooked"
0.777722523,"Beans, kidney, raw"
0.879164591,"Beans, navy, raw"
0.439582295,"Beans, navy, sprouted, raw"
1.014420682,"Beans, pinto, canned"
0.722774736,"Beans, pinto, cooked"
0.815763298,"Beans, pinto, raw"
0.511437094,"Beans, snap, green, frozen, all styles, unprepared"
0.160616608,"Beet greens, raw"
1.039781199,"Beets, canned"
0.574838386,"Beets, raw"
0.608652409,"Blackberries, raw"
0.663600196,"Blackberries, wild, raw (Alaska Native)"
0.62555942,"Blueberries, raw"
1.348334156,"Blueberries, wild, canned, heavy syrup, drained"
0.456489307,"Bread crumbs, dry, grated, plain"
0.507210341,"Bread crumbs, dry, grated, seasoned"
0.845350568,"Bread stuffing, bread, dry mix, prepared"
0.845350568,"Bread stuffing, cornbread, dry mix, prepared"
0.929885625,"Breadfruit, raw"
0.634012926,"Broadbeans (fava beans), mature seeds, raw"
0.46071606,"Broadbeans, immature seeds, raw"
